交割月份,前结算,今开盘,最高价,最低价,收盘价,结算参考价,涨跌1,涨跌2,成交手,成交额,持仓手/变化,,
注： 1、报价单位：铜、铝、锌、铅、镍、锡、螺纹钢、线材、热轧卷板、天然橡胶、燃料油、石油沥青、纸浆、不锈钢为元/吨；黄金为元/克；白银为元/千克；原油为元(人民币)/桶（交易报价为不含税价格）；低硫燃料油、20号胶、铜(BC)为元（人民币）/吨（交易报价为不含税价格）。 2、交易单位：铜、铜(BC)、铝、锌、铅、不锈钢为5吨/手；镍、锡为1吨/手；螺纹钢、线材、热轧卷板、低硫燃料油、燃料油、石油沥青、天然橡胶、20号胶、纸浆为10吨/手；黄金为1000克/手；白银为15千克/手；原油为1000桶/手。 3、成交量、持仓量、持仓变化单位为手，单边计算；成交额单位为万元，单边计算。 4、涨跌1=收盘价-前结算价；涨跌2=结算价-前结算价。 5、成交量、成交额包含期货自对冲量。 6、合约结算前，其成交量（额）不包含TAS成交量（额）；合约结算完成后，其成交量（额）包含TAS成交量（额）。,,,,,,,,,,,,,
上海期货交易所期货成交情况 2022年02月28日(周一),,,,,,,,,,,,,
,,,,,,,,,,,,,
商品名称,最高价,最低价,加权平均价,成交手,成交额(亿元),年成交手(万手),年成交额(亿元),,,,,,
铜,71030,70410,70799,97423,344.87,589.43,20879.63,,,,,,
铜(BC),64160,61320,62887,14444,45.42,60.4,1908.17,,,,,,
铝,22770,22215,22599,383612,433.45,1739.25,19084.67,,,,,,
锌,25120,24610,24891,205719,256.03,922.06,11486.55,,,,,,
铅,15680,15395,15538,80299,62.38,341.58,2629.33,,,,,,
镍,181860,164840,175384,404531,709.48,1617.72,27195.05,,,,,,
锡,341200,307720,335810,84285,283.04,396.63,12670.32,,,,,,
黄金,409,382.18,387,251064,971.62,569.86,21609.12,,,,,,
白银,5106,4848,4926,665502,491.69,2218.84,16160.17,,,,,,
螺纹钢,4773,4294,4629,1523269,705.19,5763.07,26960.19,,,,,,
线材,5035,4661,4973,28,0.01,0.41,2.05,,,,,,
热轧卷板,5014,4445,4831,437210,211.21,1683.35,8099.87,,,,,,
不锈钢,17940,16690,17718,105944,93.86,521.51,4682.55,,,,,,
原油,619.9,540,595.5,294080,1751.25,674.41,37233.23,,,,,,
低硫燃料油,4554,4075,4340,127832,55.48,299.59,1228.35,,,,,,
燃料油,3527,3071,3305,614741,203.16,1554.14,4874.82,,,,,,
石油沥青,3580,3370,3480,585592,203.76,1875.73,6613.8,,,,,,
天然橡胶,15300,13600,13956,211729,295.49,1022.44,14925.05,,,,,,
20号胶,12390,11460,11734,42531,49.91,158.93,1882.96,,,,,,
纸浆,6744,6450,6674,248142,165.61,1164.36,7304.19,,,,,,
总计, , , ,6377977,7332.92,23173.7,247430.07,,,,,,
注： 1、成交手、成交额、年成交手、年成交额单边计算。 2、成交量、成交额包含期货自对冲量。 3、合约结算前，其成交量（额）不包含TAS成交量（额）；合约结算完成后，其成交量（额）包含TAS成交量（额）。,,,,,,,,,,,,,
上海期货交易所期货价格指数 2022年02月28日(周一),,,,,,,,,,,,,
,,,,,,,,,,,,,
指数名,最新价,今开盘价,最高价,最低价,今收盘价,昨收盘价,涨跌1,涨跌2,结算参考价,,,,
上期有色金属指数,4434.03,4394.32,4444.02,4385.12, ,4399.96, , , ,,,,
注： 涨跌1=收盘价-前结算价参考价；涨跌2=结算价参考价-前结算价参考价。  指数免责声明： 1、本文件涉及所有信息，包括但不限于所有的文字、数据、图表、表格、计算方式（以下统称为“信息”）属于上海期货交易所的财产，受中国知识产权法等相关法律保护。这些信息仅供参考之用。 2、本文件涉及任何信息被确认为来源可靠，但只供相关知晓所用，非为特定个人、公司或者其他组织提供。本文任何信息，或者包含上述信息的其他内容均不构成上海期货交易所对任何期货、其他金融产品或投资工具或任何交易策略的依据或建议，而且上海期货交易所及其关联方均未认可、同意或以其他方式表示关于任何期货公司、期货、其他金融产品或投资工具或交易策略的意见。投资者在作出一项投资决定时，应该充分考虑到投资的风险，并且了解投资相关的所有程序及所涉文件，而不是基于本文的陈述。 3、上海期货交易所不保证所有信息的精确性、完整性，并且对所有信息在编制、发布等过程涉及的计算错误、漏发或者发布中断不承担任何责任，不明示或者暗示使用本文中的信息，不保证使用本文信息的适用性。当信息被认为是可适用的，对任何因直接或间接使用本文中任何信息而造成的任何索赔或者损失，包括但不限于因有关内容不准确、不完整等而导致的利息损失、惩罚性或者间接性损失，上海期货交易所无须承担任何法律责任。 上海期货交易所 所有权保留,,,,,,,,,,,,,
